"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 16 18:27:35 CST 2020","Wed Dec 16 18:27:49 CST 2020","14131","TestCase","test_01_test_camera","Testcamera","","","美颜",""
"passed","Wed Dec 16 18:27:06 CST 2020","Wed Dec 16 18:27:06 CST 2020","0","","my_test","","","","test_1[1-2]",""
"passed","Wed Dec 16 18:36:28 CST 2020","Wed Dec 16 18:36:32 CST 2020","3354","TestCase","test_01_test_camera","Testcamera","","","设备连接、断开设备",""
"passed","Wed Dec 16 18:32:42 CST 2020","Wed Dec 16 18:32:46 CST 2020","3976","TestCase","test_01_test_camera","Testcamera","","","跟随、拍摄",""
"passed","Wed Dec 16 18:33:02 CST 2020","Wed Dec 16 18:33:06 CST 2020","4206","TestCase","test_01_test_camera","Testcamera","","","跟随、拍摄",""
"passed","Wed Dec 16 18:31:23 CST 2020","Wed Dec 16 18:31:37 CST 2020","14059","TestCase","test_01_test_camera","Testcamera","","","3、5、7、off",""
"passed","Wed Dec 16 18:34:52 CST 2020","Wed Dec 16 18:34:56 CST 2020","3426","TestCase","test_01_test_camera","Testcamera","","","各种模式",""
"passed","Wed Dec 16 18:27:49 CST 2020","Wed Dec 16 18:28:17 CST 2020","28394","TestCase","test_01_test_camera","Testcamera","","","美颜",""
"passed","Wed Dec 16 18:28:17 CST 2020","Wed Dec 16 18:28:46 CST 2020","28460","TestCase","test_01_test_camera","Testcamera","","","美颜",""
"passed","Wed Dec 16 18:36:32 CST 2020","Wed Dec 16 18:36:36 CST 2020","4712","TestCase","test_01_test_camera","Testcamera","","","设备连接、断开设备",""
"passed","Wed Dec 16 18:33:58 CST 2020","Wed Dec 16 18:34:02 CST 2020","3899","TestCase","test_01_test_camera","Testcamera","","","各种模式",""
"passed","Wed Dec 16 18:27:06 CST 2020","Wed Dec 16 18:27:06 CST 2020","1","","my_test","","","","test_1[3-6]",""
"passed","Wed Dec 16 18:34:22 CST 2020","Wed Dec 16 18:34:26 CST 2020","4207","TestCase","test_01_test_camera","Testcamera","","","各种模式",""
"passed","Wed Dec 16 18:27:06 CST 2020","Wed Dec 16 18:27:06 CST 2020","0","","my_test","","","","test_1[5-6]",""
"passed","Wed Dec 16 18:34:37 CST 2020","Wed Dec 16 18:34:41 CST 2020","4358","TestCase","test_01_test_camera","Testcamera","","","各种模式",""
"passed","Wed Dec 16 18:33:24 CST 2020","Wed Dec 16 18:33:27 CST 2020","3391","TestCase","test_01_test_camera","Testcamera","","","各种模式",""
"passed","Wed Dec 16 18:32:58 CST 2020","Wed Dec 16 18:33:02 CST 2020","4265","TestCase","test_01_test_camera","Testcamera","","","跟随、拍摄",""
