INFO	2020-12-05 17:31:25,367	[webpage.py:83]	点击元素：('xpath', "//*[@text='眼睛放大']")
INFO	2020-12-05 17:31:26,489	[webpage.py:83]	点击元素：('xpath', "//*[@text='光照']")
INFO	2020-12-05 17:58:41,289	[webpage.py:83]	点击元素：('id', 'iv_camera')
INFO	2020-12-05 17:58:42,410	[webpage.py:83]	点击元素：('id', 'ib_help')
INFO	2020-12-05 17:58:43,651	[webpage.py:83]	点击元素：('xpath', "//*[@text='直接进入']")
INFO	2020-12-05 17:58:46,536	[webpage.py:83]	点击元素：('xpath', "//*[contains(@resource-id, 'com.zhiyun.cama:id/iv_beauty')]")
INFO	2020-12-05 17:58:47,876	[webpage.py:83]	点击元素：('xpath', "//*[@text='磨皮']")
INFO	2020-12-05 17:58:49,052	[webpage.py:83]	点击元素：('xpath', "//*[@text='美白']")
INFO	2020-12-05 17:58:50,174	[webpage.py:83]	点击元素：('xpath', "//*[@text='眼睛放大']")
INFO	2020-12-05 17:58:51,311	[webpage.py:83]	点击元素：('xpath', "//*[@text='光照']")
INFO	2020-12-05 18:00:56,120	[webpage.py:83]	点击元素：('id', 'iv_camera')
INFO	2020-12-05 18:00:57,207	[webpage.py:83]	点击元素：('id', 'ib_help')
INFO	2020-12-05 18:00:58,434	[webpage.py:83]	点击元素：('xpath', "//*[@text='直接进入']")
INFO	2020-12-05 18:01:01,408	[webpage.py:83]	点击元素：('xpath', "//*[contains(@resource-id, 'com.zhiyun.cama:id/iv_beauty')]")
INFO	2020-12-05 18:01:02,686	[webpage.py:83]	点击元素：('xpath', '//android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.ImageView')
INFO	2020-12-05 18:01:03,879	[webpage.py:83]	点击元素：('xpath', "//*[@text='美白']")
INFO	2020-12-05 18:01:04,999	[webpage.py:83]	点击元素：('xpath', "//*[@text='眼睛放大']")
INFO	2020-12-05 18:01:06,123	[webpage.py:83]	点击元素：('xpath', "//*[@text='光照']")
INFO	2020-12-05 18:03:16,076	[webpage.py:83]	点击元素：('id', 'iv_camera')
INFO	2020-12-05 18:03:17,208	[webpage.py:83]	点击元素：('id', 'ib_help')
INFO	2020-12-05 18:03:18,440	[webpage.py:83]	点击元素：('xpath', "//*[@text='直接进入']")
INFO	2020-12-05 18:03:21,169	[webpage.py:83]	点击元素：('xpath', "//*[contains(@resource-id, 'com.zhiyun.cama:id/iv_beauty')]")
INFO	2020-12-05 18:03:23,226	[webpage.py:83]	点击元素：('xpath', '//android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.ImageView')
INFO	2020-12-05 18:03:25,888	[webpage.py:83]	点击元素：('xpath', "//*[@text='美白']")
INFO	2020-12-05 18:03:27,061	[webpage.py:83]	点击元素：('xpath', "//*[@text='眼睛放大']")
INFO	2020-12-05 18:03:28,194	[webpage.py:83]	点击元素：('xpath', "//*[@text='光照']")
INFO	2020-12-05 20:00:12,364	[Caplictily.py:32]	启动app错误：Message: An unknown server-side error occurred while processing the command. Original error: Could not find a connected Android device in 21238ms.

