"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 05 15:30:42 CST 2021","Tue Jan 05 15:30:45 CST 2021","3301","TestCase","test_01_test_camera03","TestCamera03","","","各种模式",""
"passed","Tue Jan 05 15:24:26 CST 2021","Tue Jan 05 15:24:30 CST 2021","3221","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:31:14 CST 2021","Tue Jan 05 15:31:17 CST 2021","3002","TestCase","test_01_test_camera03","TestCamera03","","","设备断开、连接",""
"passed","Tue Jan 05 15:35:30 CST 2021","Tue Jan 05 15:35:31 CST 2021","743","TestCase","test_01_test_camera04","TestCamera04","","","间隔,拍摄时长,轨迹",""
"passed","Tue Jan 05 15:33:26 CST 2021","Tue Jan 05 15:33:29 CST 2021","3278","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:37:11 CST 2021","Tue Jan 05 15:37:14 CST 2021","3269","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:40:43 CST 2021","Tue Jan 05 15:40:46 CST 2021","2903","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:26:07 CST 2021","Tue Jan 05 15:26:09 CST 2021","2324","TestCase","test_01_test_camera02","TestCamera02","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:21:19 CST 2021","Tue Jan 05 15:21:23 CST 2021","3328","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:25:50 CST 2021","Tue Jan 05 15:25:52 CST 2021","2295","TestCase","test_01_test_camera02","TestCamera02","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:20:52 CST 2021","Tue Jan 05 15:20:55 CST 2021","3327","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:28:59 CST 2021","Tue Jan 05 15:29:02 CST 2021","2289","TestCase","test_01_test_camera03","TestCamera03","","","常亮、关闭",""
"passed","Tue Jan 05 15:37:01 CST 2021","Tue Jan 05 15:37:04 CST 2021","3330","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:36:10 CST 2021","Tue Jan 05 15:36:12 CST 2021","2275","TestCase","test_01_test_camera05","TestCamera05","","","常亮、关闭",""
"passed","Tue Jan 05 15:40:26 CST 2021","Tue Jan 05 15:40:28 CST 2021","2278","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:33:40 CST 2021","Tue Jan 05 15:33:43 CST 2021","3305","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:29:25 CST 2021","Tue Jan 05 15:29:28 CST 2021","2295","TestCase","test_01_test_camera03","TestCamera03","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:31:21 CST 2021","Tue Jan 05 15:31:24 CST 2021","3282","TestCase","test_01_test_camera03","TestCamera03","","","设备断开、连接",""
"passed","Tue Jan 05 15:24:48 CST 2021","Tue Jan 05 15:24:55 CST 2021","6955","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:32:12 CST 2021","Tue Jan 05 15:32:14 CST 2021","2297","TestCase","test_01_test_camera04","TestCamera04","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:36:43 CST 2021","Tue Jan 05 15:36:45 CST 2021","2288","TestCase","test_01_test_camera05","TestCamera05","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:39:24 CST 2021","Tue Jan 05 15:39:39 CST 2021","15042","TestCase","test_01_test_camera05","TestCamera05","","","视频分辨率,倍数",""
"passed","Tue Jan 05 15:40:31 CST 2021","Tue Jan 05 15:40:34 CST 2021","3090","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:36:38 CST 2021","Tue Jan 05 15:36:40 CST 2021","2286","TestCase","test_01_test_camera05","TestCamera05","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:21:35 CST 2021","Tue Jan 05 15:21:39 CST 2021","4178","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:26:54 CST 2021","Tue Jan 05 15:26:57 CST 2021","3307","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:38:05 CST 2021","Tue Jan 05 15:38:08 CST 2021","3307","TestCase","test_01_test_camera05","TestCamera05","","","设备断开、连接",""
"passed","Tue Jan 05 15:14:05 CST 2021","Tue Jan 05 15:14:21 CST 2021","16015","TestCase","test_01_test_camera","Testcamera01","","","美颜",""
"passed","Tue Jan 05 15:44:03 CST 2021","Tue Jan 05 15:44:08 CST 2021","5275","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:23:52 CST 2021","Tue Jan 05 15:23:56 CST 2021","3250","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:38:18 CST 2021","Tue Jan 05 15:38:21 CST 2021","3298","TestCase","test_01_test_camera05","TestCamera05","","","设备断开、连接",""
"passed","Tue Jan 05 15:40:53 CST 2021","Tue Jan 05 15:40:55 CST 2021","2299","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
